target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
nachr_a4b2,KK1,"6-(4-methoxyphenyl)-N~4~-octylpyrimidine-2,4-diamine",no,4QAA,25006260,10.1073/pnas.1410992111,Structural basis for cooperative interactions of substituted 2-aminopyrimidines with the acetylcholine binding protein.
nachr_a4b2,L0B,Alpha-Lobeline,yes,5AFH,25918415,10.1073/PNAS.1418289112,Molecular Blueprint of Allosteric Binding Sites in a Homologue of the Agonist-Binding Domain of the Alpha7 Nicotinic Acetylcholine Receptor.
nachr_a4b2,LDQ,Hosieine,no,6SGV,,10.1107/S2053230X22007762,Delineating the activity of the potent nicotinic acetylcholine receptor agonists (+)-anatoxin-a and (-)-hosieine-A
nachr_a4b2,LOB,LOBELINE,no,2BYS,16193063,10.1038/SJ.EMBOJ.7600828,Structures of Aplysia Achbp Complexes with Nicotinic Agonists and Antagonists Reveal Distinctive Binding Interfaces and Conformations.
nachr_a4b2,MD4,"(3-exo)-8,8-dimethyl-3-[4-(pyridin-4-yl)-1H-1,2,3-triazol-1-yl]-8-azoniabicyclo[3.2.1]octane",no,4WV9,,,Crystal structure of acetylcholine binding protein (AChBP) from Aplysia Californica in complex with click chemistry compound.
nachr_a4b2,N2Y,(2Z)-1-[(6-chloropyridin-3-yl)methyl]imidazolidin-2-imine,yes,3WTN,25267717,10.1124/mol.114.094698,Studies on an acetylcholine binding protein identify a basic residue in loop G on the beta 1 strand as a new structural determinant of neonicotinoid actions
nachr_a4b2,NSE,"3-[3-(pyridin-3-yl)-1,2,4-oxadiazol-5-yl]benzonitrile",yes,4NZB,24982426,10.1074/jbc.M114.568097,Structural and functional studies of the modulator NS9283 reveal agonist-like mechanism of action at alpha 4 beta 2 nicotinic acetylcholine receptors.
nachr_a4b2,SQX,13-DESMETHYL SPIROLIDE C,no,2WZY,20224036,10.1073/PNAS.0912372107,Structural Determinants in Phycotoxins and Achbp Conferring High Affinity Binding and Nicotinic Achr Antagonism.
nachr_a4b2,TH4,"{(2Z)-3-[(6-chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene}cyanamide",yes,3WTJ,25267717,10.1124/mol.114.094698,Studies on an acetylcholine binding protein identify a basic residue in loop G on the beta 1 strand as a new structural determinant of neonicotinoid actions
nachr_a4b2,TI4,"(2R,3S,5R,7S)-2-(pyridin-3-yl)-1-azatricyclo[3.3.1.1~3,7~]decane",no,5BRX,,,Comparisons of Binding Affinities for Neuronal Nicotinic Receptors (NNRs) and AChBPs
nachr_a4b2,TI9,3-[(2S)-pyrrolidin-2-ylethynyl]pyridine,no,4ZRU,,,"Comparisons of Binding Affinities for Neuronal Nicotinic Receptors (NNRs) and AChBPs, and Structural Features of a High-Affinity, Non-selective NNR Ligand-AChBP Co-crystal Structure"
nachr_a4b2,TII,"(5R)-1-methyl-7-[5-(propan-2-yloxy)pyridin-3-yl]-1,7-diazaspiro[4.4]nonane",no,4ZK4,,,"Crystal structure of a chimeric acetylcholine binding protein from Aplysia californica (Ac-AChBP) containing loop C from the human alpha 3 nicotinic acetylcholine receptor in complex with 7-(5-isopropoxy-pyridin-3-yl)-1-methyl-1,7-diaza-spiro[4.4]nonane."
nachr_a4b2,TKT,(3-ENDO)-8-METHYL-8-AZABICYCLO[3.2.1]OCT-3-YL 1H-INDOLE-3-CARBOXYLATE,yes,2WNC,19696737,10.1038/emboj.2009.227,Structural determinants for interaction of partial agonists with acetylcholine binding protein and neuronal alpha7 nicotinic acetylcholine receptor.
nachr_a4b2,U8Q,4-[4-(trifluoromethyl)phenoxy]piperidine,yes,7NDV,,,Discovery of fragments inducing conformational effects in dynamic proteins using a second-harmonic generation biosensor
nachr_a4b2,U8T,"6-bromanylspiro[3~{H}-chromene-2,4'-piperidine]-4-one",no,7NDP,35423271,10.1039/d0ra09844b,Discovery of fragments inducing conformational effects in dynamic proteins using a second-harmonic generation biosensor.
nachr_a4b2,V11,"[(1S,5R)-8-[(2R)-2-HYDROXY-2-PHENYL-ETHYL]-8-AZABICYCLO[3.2.1]OCTAN-3-YL] BENZOATE",yes,2Y56,21322593,10.1021/JA110571R,Fragment Growing Induces Conformational Changes in Acetylcholine-Binding Protein: A Structural and Thermodynamic Analysis.
nachr_a4b2,V37,"[(1R,5S)-8-PHENETHYL-8-AZABICYCLO[3.2.1]OCTAN-3-YL] BENZOATE",yes,2Y57,21322593,10.1021/JA110571R,Fragment Growing Induces Conformational Changes in Acetylcholine-Binding Protein: A Structural and Thermodynamic Analysis.
nachr_a4b2,V38,"[(1R,5S)-8-[(2R)-2-HYDROXY-2-PHENYL-ETHYL]-8-METHYL-8-AZONIABICYCLO[3.2.1]OCTAN-3-YL] BENZOATE",no,2Y58,21322593,10.1021/JA110571R,Fragment Growing Induces Conformational Changes in Acetylcholine-Binding Protein: A Structural and Thermodynamic Analysis.
nachr_a4b2,V63,"[(1R,5S)-8-AZABICYCLO[3.2.1]OCTAN-3-YL] BENZOATE",yes,2Y54,21322593,10.1021/JA110571R,Fragment Growing Induces Conformational Changes in Acetylcholine-Binding Protein: A Structural and Thermodynamic Analysis.
